rank,country,cases,deaths,recovered,active,critical,cases_1Mpop,deaths_1Mpop,tests,tests_1Mpop,population,continent
184,Botswana,35,1,19,15,,15,0,"17,631","7,514","2,346,458",Africa
185,Bhutan,27,,6,21,,35,,"15,607","20,250","770,726",Asia
186,Antigua and Barbuda,25,3,19,3,1,256,31,183,"1,870","97,846",North America
187,Gambia,25,1,13,11,,10,0,"1,476",613,"2,408,973",Africa
188,Timor-Leste,24,,24,0,,18,,738,561,"1,315,727",Asia
189,Grenada,22,,17,5,4,196,,"3,007","26,736","112,471",North America
190,Namibia,21,,14,7,,8,,"3,117","1,229","2,535,948",Africa
191,Laos,19,,14,5,,3,,"5,795",798,"7,264,396",Asia
192,Belize,18,2,16,0,,45,5,"1,435","3,616","396,850",North America
193,Curaçao,18,1,14,3,,110,6,572,"3,487","164,026",North America
194,Fiji,18,,15,3,,20,,"1,300","1,451","895,784",Australia/Oceania
195,New Caledonia,18,,18,0,,63,,"5,454","19,122","285,215",Australia/Oceania
196,Saint Lucia,18,,18,0,,98,,898,"4,893","183,543",North America
197,St. Vincent Grenadines,18,,14,4,,162,,209,"1,884","110,905",North America
198,Dominica,16,,16,0,,222,,433,"6,017","71,968",North America
199,Saint Kitts and Nevis,15,,15,0,,282,,394,"7,411","53,161",North America
200,Falkland Islands,13,,13,0,,"3,749",,445,"128,316","3,468",South America
201,Turks and Caicos,12,1,10,1,,310,26,126,"3,259","38,662",North America
202,Greenland,12,,11,1,,211,,"1,885","33,210","56,760",North America
203,Vatican City,12,,2,10,,"14,981",,,,801,Europe
204,Montserrat,11,1,10,0,,"2,204",200,36,"7,212","4,992",North America
205,Suriname,11,1,9,1,,19,2,488,833,"586,092",South America
206,Seychelles,11,,11,0,,112,,,,"98,285",Africa
207,MS Zaandam,9,2,,7,,,,,,0,
208,Western Sahara,9,,6,3,,15,,,,"595,704",Africa
209,British Virgin Islands,8,1,6,1,,265,33,167,"5,528","30,211",North America
210,Papua New Guinea,8,,8,0,,1,,"2,402",269,"8,928,690",Australia/Oceania
211,Caribbean Netherlands,6,,6,0,,229,,424,"16,184","26,198",North America
212,St. Barth,6,,6,0,,608,,137,"13,875","9,874",North America
213,Anguilla,3,,3,0,,200,,30,"2,001","14,989",North America
214,Lesotho,2,,,2,,0.9,,283,132,"2,140,514",Africa
215,Saint Pierre Miquelon,1,,1,0,,173,,,,"5,797",North America
